id,opponent,opponentName,start,end,icon,color,age_group,favoriteActivity,height,zipcode,state,latitude,longitude,runTime
10,fast-animal,Fast animal,2018-08-25T14:47:04.596Z,2018-08-25T14:47:12.520Z,cross,#D30706,Adult,Sports,73,47404,IN,39.195,-86.5757,7.924
9,fast-person,Fast person,2018-08-25T14:46:21.412Z,2018-08-25T14:46:24.354Z,cross,#33820D,Pre-Teen,Sports,48,47408,IN,39.2303,-86.4692,2.942
8,cartoon-character,Cartoon character,2018-08-25T14:45:02.090Z,2018-08-25T14:45:05.176Z,triangle-up,#8E1BCE,Adult,Gaming,73,47408,IN,39.2303,-86.4692,3.086
7,fast-animal,Fast animal,2018-08-25T14:43:02.750Z,2018-08-25T14:43:05.494Z,diamond,#D36E44,Adult,Gaming,70,47401,IN,39.1401,-86.5083,2.744
6,fast-animal,Fast animal,2018-08-25T14:42:19.272Z,2018-08-25T14:42:22.366Z,square,#D372D2,Retired,Sports,7,47408,IN,39.2303,-86.4692,3.094
5,cartoon-character,Cartoon character,2018-08-25T14:40:53.440Z,2018-08-25T14:40:56.766Z,star,#0707D2,Pre-Teen,Art,78,47408,IN,39.2303,-86.4692,3.326
4,cartoon-character,Cartoon character,2018-08-25T14:39:39.368Z,2018-08-25T14:39:42.618Z,diamond,#D39827,Pre-Teen,Cooking,57,47408,IN,39.2303,-86.4692,3.25
3,fast-animal,Fast animal,2018-08-25T14:38:51.384Z,2018-08-25T14:38:59.454Z,cross,#D39827,Pre-Teen,Gaming,48,47408,IN,39.2303,-86.4692,8.07
2,fast-person,Fast person,2018-08-25T14:37:45.454Z,2018-08-25T14:37:48.436Z,cross,#D372D2,Teen,Art,78,47408,IN,39.2303,-86.4692,2.982
1,fast-animal,Fast animal,2018-08-25T14:36:21.094Z,2018-08-25T14:36:24.182Z,diamond,#9B180F,Pre-Teen,Gaming,48,47408,IN,39.2303,-86.4692,3.088
